Category,Brand,Model Name,Specs (RAM/ROM/Display/etc),Price,Offer Price,Stock,Product Image URL,Description,Warranty,EMI Options
Mobile,Samsung,Galaxy A15,"6GB/128GB, 6.6"" FHD+ AMOLED","₹13,999","₹12,999",10,[URL],,1 Year,Yes
,SAMSUNG ,A06 ,A06 4 GB 64GB 4G BLACK,11999,8999,8,https://amzn.in/d/4eKjhPS,,1 Year,Yes
,SAMSUNG ,A06 ,A06 4 GB 64GB 4G GOLD,11999,8999,8,,,1 Year,Yes
,SAMSUNG ,A06 ,A06 4GB 128GB 5G LIGHT GREEN,13999,11499,8,https://amzn.in/d/91iG423,,1 Year,Yes
,SAMSUNG ,A06 ,A06 4GB 128GB 5G GREY,13999,11499,8,https://amzn.in/d/91iG423,,1 Year,Yes
,SAMSUNG ,A06 ,A06 6GB 128GB 5G BLACK,13999,11499,8,,,1 Year,Yes
,SAMSUNG ,A06 ,A06 6GB 128GB 5G GREY,13999,11499,8,,,1 Year,Yes
,SAMSUNG ,F15 ,F15 4GB 128GB 5G JAZZY GREEN,15999,11999,8,https://amzn.in/d/5aivlMx,,1 Year,Yes
,SAMSUNG ,F15 ,F15 4GB 128GB 5G GROOVY VIOLET,15999,11999,8,https://amzn.in/d/5aivlMx,,1 Year,Yes
,SAMSUNG ,F15,F15 4GB 128GB 5G ASH BLACK,15999,11999,8,https://amzn.in/d/5aivlMx,,1 Year,Yes
,SAMSUNG ,F15,F15 6GB 128GB 5G JAZZY GREEN,16999,12999,8,https://amzn.in/d/8aUommy,,1 Year,Yes
,SAMSUNG ,F15,F15 6GB 128GB 5G GROOVY VIOLET,16999,12999,8,https://amzn.in/d/8aUommy,,1 Year,Yes
,SAMSUNG ,F15,F15 6GB 128GB 5G ASH BLACK,16999,12999,8,https://amzn.in/d/8aUommy,,1 Year,Yes
,SAMSUNG ,F15,F15 8GB 128GB 5G JAZZY GREEN,17999,16999,8,https://amzn.in/d/f4Qjv1L,,1 Year,Yes
,SAMSUNG ,F15,F15 8GB 128GB 5G GROOVY VIOLET,17999,16999,8,https://amzn.in/d/f4Qjv1L,,1 Year,Yes
,SAMSUNG ,F15,F15 8GB 128GB 5G ASH BLACK,17999,16999,8,https://amzn.in/d/f4Qjv1L,,1 Year,Yes
,SAMSUNG ,A16,A16 6GB 128GB 5G GOLD ,19999,15499,8,https://amzn.in/d/6IrTEz3,,1 Year,Yes
,SAMSUNG ,A16,A16 6GB 128GB 5G BLUE BLACK,19999,15499,8,https://amzn.in/d/6IrTEz3,,1 Year,Yes
,SAMSUNG ,A16,A16 6GB 128GB 5G LIGHT GREEN,19999,15499,8,https://amzn.in/d/6IrTEz3,,1 Year,Yes
,SAMSUNG ,A16,A16 8GB 128GB 5G GOLD,21499,16999,8,https://amzn.in/d/3k4TSek,,1 Year,Yes
,SAMSUNG ,A16,A16 8GB 128GB 5G BLUE BLACK,21499,16999,8,https://amzn.in/d/3k4TSek,,1 Year,Yes
,SAMSUNG ,A16,A16 8GB 128GB 5G LIGHT GREEN,21499,16999,8,https://amzn.in/d/3k4TSek,,1 Year,Yes
,SAMSUNG ,A16,A16 8GB 256GB 5G GOLD,24999,17999,8,,,1 Year,Yes
,SAMSUNG ,A16,A16 8GB 256GB 5G BLUE BLACK,24999,17999,8,,,1 Year,Yes
,SAMSUNG ,A16,A16 8GB 256GB 5G LIGHT GREEN,24999,17999,8,,,1 Year,Yes
,SAMSUNG ,A36,A36 8GB 128GB 5G AWESOME WHITE,35999,30999,8,https://amzn.in/d/5XjfDXD,,1 Year,Yes
,SAMSUNG ,A36,A36 8GB 128GB 5G AWESOME BLACK,35999,30999,8,https://amzn.in/d/5XjfDXD,,1 Year,Yes
,SAMSUNG ,A36,A36 8GB 128GB 5G AWESOME LAVENDER,35999,30999,8,https://amzn.in/d/5XjfDXD,,1 Year,Yes
,SAMSUNG ,A36,A36 8GB 256GB 5G  AWESOME WHITE,38999,33999,8,https://amzn.in/d/8McBRmT,,1 Year,Yes
,SAMSUNG ,A36,A36 8GB 256GB 5G  AWESOME BLACK,38999,33999,8,https://amzn.in/d/8McBRmT,,1 Year,Yes
,SAMSUNG ,A36,A36 8GB 256GB 5G AWESOME LAVENDER,38999,33999,8,https://amzn.in/d/8McBRmT,,1 Year,Yes
,SAMSUNG ,A36,A36 12GB 256GB 5G AWESOME WHITE ,41999,35999,8,,,1 Year,Yes
