Brand,Model Name,Specs (RAM/ROM/Display/etc),Product Image URL,Description,Warranty,EMI Options
SAMSUNG ,A06 ,A06 4 GB 64GB 4G BLACK,https://amzn.in/d/4eKjhPS,Very Good Mobile,1 Year,Yes
SAMSUNG ,F15 ,F15 4GB 128GB 5G JAZZY GREEN,https://amzn.in/d/5aivlMx,Very Good Mobile,1 Year,Yes
SAMSUNG ,F15,F15 4GB 128GB 5G ASH BLACK,https://amzn.in/d/5aivlMx,Very Good Mobile,1 Year,Yes
SAMSUNG ,A16,A16 6GB 128GB 5G GOLD ,https://amzn.in/d/6IrTEz3,Very Good Mobile,1 Year,Yes
SAMSUNG ,A36,A36 8GB 128GB 5G AWESOME WHITE,https://amzn.in/d/5XjfDXD,Very Good Mobile,1 Year,Yes
SAMSUNG ,F55,F55 8GB 128GB 5G BLACK,https://amzn.in/d/6JmGSSr,Very Good Mobile,1 Year,Yes
SAMSUNG ,S24FE,S24FE 8GB 128GB 5G BLUE ,https://amzn.in/d/hl94zDP,Very Good Mobile,1 Year,Yes
SAMSUNG ,S24,S24 8GB 128GB 5G MARBLE GREY,https://amzn.in/d/biMKIAZ,Very Good Mobile,1 Year,Yes
SAMSUNG ,S24 ULTRA,S24 ULTRA 12GB 256GB 5G TITANIUM GREY,https://amzn.in/d/ecCQtLt,Very Good Mobile,1 Year,Yes
SAMSUNG ,S25 ,S25 12GB 256GB 5G ICY BLUE,https://amzn.in/d/3jrobGQ,Very Good Mobile,1 Year,Yes
SAMSUNG ,S25,S25 12GB 512GB 5G SILVER SHADOW,https://amzn.in/d/ahQHaFi,Very Good Mobile,1 Year,Yes
SAMSUNG ,S25 ULTRA ,S25 ULTRA 12GB 256GB 5G TITANIUM BLUE ,https://amzn.in/d/iDNjGyK,Very Good Mobile,1 Year,Yes
SAMSUNG ,S25 ULTRA,S25 ULTRA 12GB 1TB 5G TITANIUM SILVER,https://amzn.in/d/cedbjP4,Very Good Mobile,1 Year,Yes
SAMSUNG ,FLIP 6,FLIP 6 12GB 256GB 5G MINT ,https://amzn.in/d/0iMtA8q,Very Good Mobile,1 Year,Yes
SAMSUNG ,FOLD 6,FOLD 6 12GB 256GB 5G SILVER SHADOW,https://amzn.in/d/hiGcWbJ,Very Good Mobile,1 Year,Yes
OPPO ,A3X 5G,A3X 4G 4GB 64GB Starry Purple,https://amzn.in/d/062nKLC,Very Good Mobile,1 Year,Yes
OPPO ,A3 5G ,A3 5G 6GB 128GB NEBULA RED ,https://amzn.in/d/755XU2A,Very Good Mobile,1 Year,Yes
OPPO ,A3 PRO,A3PRO 5G 8GB 128GB MOONLIGHT PURPLE,https://amzn.in/d/2BoF2CG,Very Good Mobile,1 Year,Yes
OPPO ,A5 PRO,A5PRO 5G 8GB 128GB MOCHA BROWN,https://amzn.in/d/i5LqBce,Very Good Mobile,1 Year,Yes
OPPO ,F27,F27 5G 8GB 128GB EMERALD GREEN,https://amzn.in/d/dc49bBv,Very Good Mobile,1 Year,Yes
OPPO ,F29,F29 5G 8GB 128GB SOLID PURPLE,https://amzn.in/d/9hGCEnz,Very Good Mobile,1 Year,Yes
OPPO ,F29 ,F29 5G 8GB 128GB GLACIER BLUE,https://amzn.in/d/9hGCEnz,Very Good Mobile,1 Year,Yes
OPPO ,RENO12,RENO12 5G 8GB 256GB MATTE BROWN,https://www.amazon.in/Oppo-Reno-Matte-Brown-256/dp/B0DB6B6NB6/ref=sr_1_2?crid=1UJ8PCRATL089&dib=eyJ2IjoiMSJ9.y2Q0sXcnUDRAgK7QkzLbsGNuYYbgJrwbYJ-X3ZZQSVS1cPhFABptWd3fiEx0ZuML9Da3IsiBQyFLV6m_Cb3OX6x5aHeiFp1ikZKSqiguRWF-z1MM_Flunkw4ycAs8hxsDoHDSuL5iyiHAof-XJFbQU6-bjn5rd2xHi3qQSSQV43IiOSH7zBWykQjDIhy8MvqJBv4gdbKZQQiGbyEtS391UPy72WkOFf7gjmcZ_TEbXM.-Im1Yt63CiFNrpJkmB1ovACbJBluFvMq9E2QtExFlzI&dib_tag=se&keywords=reno+12+5g&qid=1745834723&sprefix=RENO+12%2Caps%2C272&sr=8-2,Very Good Mobile,1 Year,Yes
OPPO ,RENO13,RENO13 5G 8GB 128GB LUMINOUS BLUE,https://www.amazon.in/OPPO-Reno13-Storage-Additional-Exchange/dp/B0DSQ85794/ref=sr_1_2?crid=1TN2HPEBBSJAX&dib=eyJ2IjoiMSJ9.YEVtOf6-OCin_Qt9vSrfPuOO9exKb2tQUSDqjK7tzNNHccg6-r9yLf_rdRPDFQRsjOJMx0LLEcSEfizCSJBmO6oZ1Wv0kKrgHlmVqNf_bY8_YwoKTG5FAJQ58MLFighqFL-fIqHSarJWQNuHK844gNBCb4oLw4ercso3Ds_60vV7Oaf1N6gacXJDpoQuiKFD5lTmwEzB3FxAtwG-WxiicI_-SiFXXAYW1032DDWGNy4.VzfIWIk2lv7N2_SnsGmbgr2PqPaVDwU1vt1GMbAiuyg&dib_tag=se&keywords=oppo%2Breno%2B13%2Bpro%2B5%2Bg%2B8%2B128&nsdOptOutParam=true&qid=1745834974&sprefix=reno%2B13%2B128%2Caps%2C278&sr=8-2&th=1,Very Good Mobile,1 Year,Yes
OPPO ,REBO13,RENO13 5G 12GB 256GB IVORY WHITE,https://www.amazon.in/OPPO-Reno13-Pro-Graphite-Grey/dp/B0DSQ7ZJKT/ref=sr_1_1?crid=1YU59HZMGAR7&dib=eyJ2IjoiMSJ9.fYv6UI8ymCqyaHYcMuxzKboPhyQL857NycZ6ZrDMqDlo8DXDtnAmZlf9RK0pRpPYsI-nVTY1DiAAR52iXmZslbrqo9PNV1pORTTGrG2Oo6kJ3cTsmtfEsccKwxZwcGUSubWoAng_SbobmP2Xe2fdk-82x2H3HglN4A7FWJWJzBLCkItImlxT3ltkXx_0qme65mG7kKTfG1_X278UJka9NGW2rrMKBiVVUT6vGlKf8qc.a7wa4IAEle-9AN-iktpnLvAz5KoaEcKGcChxU44bN98&dib_tag=se&keywords=oppo+reno+13+pro+5%2Bg+12+256&nsdOptOutParam=true&qid=1745835021&sprefix=oppo+reno+13+pro+5%2Bg++12%2Caps%2C260&sr=8-1,Very Good Mobile,1 Year,Yes
OPPO ,N3 FLIP,FIND N3 FLIP 5G 12GB 256GB CREAM GOLD,skip,Very Good Mobile,1 Year,Yes
